"DateTime","Players"
2019-06-18,16598
2019-06-19,24758
2019-06-20,26417
2019-06-21,24339
2019-06-22,26934
2019-06-23,25173
2019-06-24,20038
2019-06-25,18158
2019-06-26,15925
2019-06-27,14222
2019-06-28,12739
2019-06-29,14451
2019-06-30,13469
2019-07-01,10510
2019-07-02,9656
2019-07-03,8751
2019-07-04,8540
2019-07-05,7797
2019-07-06,8867
2019-07-07,8100
2019-07-08,6155
2019-07-09,5645
2019-07-10,5093
2019-07-11,4642
2019-07-12,4587
2019-07-13,5356
2019-07-14,4981
2019-07-15,3726
2019-07-16,3372
2019-07-17,2959
2019-07-18,2671
2019-07-19,2688
2019-07-20,3320
2019-07-21,3116
2019-07-22,2233
2019-07-23,2186
2019-07-24,1948
2019-07-25,1821
2019-07-26,1773
2019-07-27,2171
2019-07-28,2044
2019-07-29,1548
2019-07-30,1469
2019-07-31,1403
2019-08-01,1276
2019-08-02,1224
2019-08-03,1597
2019-08-04,1578
2019-08-05,1246
2019-08-06,1202
2019-08-07,1082
2019-08-08,1087
2019-08-09,1089
2019-08-10,1411
2019-08-11,1323
2019-08-12,1093
2019-08-13,984
2019-08-14,956
2019-08-15,920
2019-08-16,976
2019-08-17,1099
2019-08-18,1062
2019-08-19,857
2019-08-20,809
2019-08-21,975
2019-08-22,1032
2019-08-23,1138
2019-08-24,1445
2019-08-25,1492
2019-08-26,1185
2019-08-27,1161
2019-08-28,1116
