review,recomend
"2D Metroidvania is my favorite videogame genre, hands down. This one is pretty good. As expected, it hits a feverish nostalgic nerve for Castlevania: Symphony of the Night.  The unexpected result of which was that I started to wonder if SotN itself is somewhat over-rated.  This was mostly due to the difficulty imbalance that both games share.  It is too easy to steamroll bosses if you encounter them for the first time with OP gear found elsewhere, which is something that is hard to get right it nonlinear games. However, this games has a few more issues than SotN.  This review is a warning about the shortcomings.\n\nWhile the overall graphic design is pretty slick the zones in this game are extremely generic and their placement within the 'castle' lack rhyme or reason.  They switch between boilerplate garden/lava/sand/ice/library/lab/japanese-shrine environments at the drop of a hat.  I'm not saying Dracula's MC Escher style castle in SotN had a realistic layout or anything, but the design felt much more cohesive. Also, some zones clearly got more development time than others, with the later zones in particular being extremely underwhelming. \n\nFarming.  I don't think there is any point in SotN where you have to farm item drops from monsters but doing so is a core game mechanic in Bloodstained.  The demand is two-fold: It is needed to rank up your shards and you need ingredients to cook meals.  Shards are magic attacks or attribute buffs and each shard levels up separately.  The problem is there are dozens of shards. The end result is I ignored 95% of them completely because I'd get the level one version which would invariably be weaker than the ones I was already using.  If you want to level up a shard, fight the monster you got it from originally, don't expect it to pop up later on a similar monster (bear in mind drop rate in early game is around 5%).\n\nQuests.  The quest system is deeply flawed. Four NPCs give you sequential quests where you have to complete the current quest to unlock the next quest. Two of these NPCs require you give them specific items to complete the quest. I didn't have said items and assumed they'd pop up later in my travels.  Nope.  The problem is many items only drop from one monster type and at very low rates. This is also a problem for cooking in general.  There's an item that a lot of mid-game recipes need (Beast Milk) which is dropped by only one, unremarkable enemy type.  There is exactly ONE of that enemy in the entire castle, unless you know to farm it your recipes will stall and the quests that require cooked items will as well.\n\nAnother example of a stalled quest.  The NPC requested a fire circlet.  I had already discovered a thunder circlet from a chest, so I assumed I'd find a fire one eventually.  Nope, literally nowhere to be found.  You need to buy an otherwise useless circlet from the shop, and then all of a sudden you get the recipe to build the fire circlet.  Why didn't I think of that?  Well, every other recipe you discover in the game shows up in the crafting screen regardless of whether you have all the items to make it.  I try to play games without looking at walk-throughs and it was end-game when I finally caved to find the solution to that one.\n\nOverall I liked the game, just not in stand-out ways I can articulate.  The control is crisp, there are quality of life improvements over SotN, and its a variation of formula I enjoy. I would say that the production quality is fairly high, but lacks polish.  They've done one balance patch already, so maybe it'll continue to improve.  Of the 15 or so metroidvania games I've played this one is squarely in the middle of the pack.",Recommended
Great game.,Recommended
"Epic game, cant wait for the multiplayer stuff.",Recommended
amazing. everything i could have wanted really. i encountered a few bugs in the beginning but i didnt really run into them after my first few hours,Recommended
This game gets  a stamp of approval for being a succesfull kickstarter game,Recommended
Igavania like Symphony of the night. \nLove it!,Recommended
Choosing Miriam as protagonist --> Best move,Recommended
It is one of those games that actually bring you happiness.\n\n,Recommended
"The best Castlevania experience since Order of Ecclessia. This game builds up on the concepts first pioneered on SOTN and built up on the handheld trilogies, especially Aria & Dawn of Sorrow. \n\nOverwhelmingly positive experience overall with this game, never had a single crash or bug in 25 hours of gameplay. Combat is fluid, movement, dodge, action cancel, all feel intuitive and have the same mix of ""easy to pull off, difficult to master"" concept of old. \n\nThe only downside I'd point out is the lack of a proper difficulty curve. Your character quickly outpaces enemies damage and skills, especially given how insanely OP some of the shard powers are (Draconic Rage and Void Ray combo is just insane). By mid-to-late game you just cruise through until the end.",Recommended
Support real Castlevania and get either of the Bloodstained games. Genuinely well made and fun to play platformers.,Recommended
