"DateTime","Players"
2017-09-14,37241
2017-09-15,53472
2017-09-16,75429
2017-09-17,85858
2017-09-18,69796
2017-09-19,69233
2017-09-20,66222
2017-09-21,66072
2017-09-22,68540
2017-09-23,86315
2017-09-24,93701
2017-09-25,70682
2017-09-26,66010
2017-09-27,62847
2017-09-28,58174
2017-09-29,59113
2017-09-30,75047
2017-10-01,80688
2017-10-02,59386
2017-10-03,56321
2017-10-04,52667
2017-10-05,49945
2017-10-06,49879
2017-10-07,64918
2017-10-08,69423
2017-10-09,55320
2017-10-10,44591
2017-10-11,41619
2017-10-12,40059
2017-10-13,39530
2017-10-14,50675
2017-10-15,53463
2017-10-16,37957
2017-10-17,33889
2017-10-18,31590
2017-10-19,30661
2017-10-20,31617
2017-10-21,40304
2017-10-22,42661
2017-10-23,30350
2017-10-24,26421
2017-10-25,24532
2017-10-26,23017
2017-10-27,22934
2017-10-28,28609
2017-10-29,32146
2017-10-30,22571
2017-10-31,19746
2017-11-01,20775
2017-11-02,20214
2017-11-03,19856
2017-11-04,25739
2017-11-05,28668
2017-11-06,19280
2017-11-07,17741
2017-11-08,16123
2017-11-09,16004
2017-11-10,17143
2017-11-11,21849
2017-11-12,23657
2017-11-13,16315
2017-11-14,14697
2017-11-15,14065
2017-11-16,13672
2017-11-17,13771
2017-11-18,18396
2017-11-19,20099
2017-11-20,14371
2017-11-21,13777
2017-11-22,13239
2017-11-23,13796
2017-11-24,15994
2017-11-25,18905
2017-11-26,20819
2017-11-27,15129
2017-11-28,13795
2017-11-29,13093
2017-11-30,12788
2017-12-01,13564
2017-12-02,17859
2017-12-03,19400
2017-12-04,13913
2017-12-05,11878
2017-12-06,12057
2017-12-07,11815
2017-12-08,12728
2017-12-09,17225
2017-12-10,18353
2017-12-11,12988
2017-12-12,11820
2017-12-13,10792
2017-12-14,10489
2017-12-15,11192
2017-12-16,14589
2017-12-17,16336
2017-12-18,12283
2017-12-19,11533
2017-12-20,11316
2017-12-21,11156
2017-12-22,12813
2017-12-23,15018
2017-12-24,12876
2017-12-25,15089
2017-12-26,18377
2017-12-27,18611
2017-12-28,19399
2017-12-29,20224
2017-12-30,22761
2017-12-31,20194
2018-01-01,25711
2018-01-02,21680
2018-01-03,20354
2018-01-04,21539
2018-01-05,20904
2018-01-06,25356
2018-01-07,25747
2018-01-08,19503
2018-01-09,16826
2018-01-10,15872
2018-01-11,15740
2018-01-12,17203
2018-01-13,22242
2018-01-14,23578
2018-01-15,19160
2018-01-16,16041
2018-01-17,15460
2018-01-18,14646
2018-01-19,14952
2018-01-20,20044
2018-01-21,21095
2018-01-22,15490
2018-01-23,13785
2018-01-24,13005
2018-01-25,12751
2018-01-26,13052
2018-01-27,17230
2018-01-28,18858
2018-01-29,13178
2018-01-30,12300
2018-01-31,11987
2018-02-01,11675
2018-02-02,12266
2018-02-03,16645
2018-02-04,18059
2018-02-05,12350
2018-02-06,11560
2018-02-07,11480
2018-02-08,10635
2018-02-09,11340
2018-02-10,15112
2018-02-11,16862
2018-02-12,11889
2018-02-13,10551
2018-02-14,9059
2018-02-15,9769
2018-02-16,10916
2018-02-17,14307
2018-02-18,16014
2018-02-19,13271
2018-02-20,11123
2018-02-21,10405
2018-02-22,10298
2018-02-23,10310
2018-02-24,13639
2018-02-25,14889
2018-02-26,10538
2018-02-27,9787
2018-02-28,9246
2018-03-01,9387
2018-03-02,9956
2018-03-03,12500
2018-03-04,13293
2018-03-05,9444
2018-03-06,8525
2018-03-07,8512
2018-03-08,8804
2018-03-09,8647
2018-03-10,11249
2018-03-11,12564
2018-03-12,9136
2018-03-13,8685
2018-03-14,8094
2018-03-15,7868
2018-03-16,8518
2018-03-17,10949
2018-03-18,12311
2018-03-19,8739
2018-03-20,8004
2018-03-21,8415
2018-03-22,7692
2018-03-23,8235
2018-03-24,11639
2018-03-25,13304
2018-03-26,9635
2018-03-27,9004
2018-03-28,8997
2018-03-29,9093
2018-03-30,10490
2018-03-31,11498
2018-04-01,12697
2018-04-02,10909
2018-04-03,9437
2018-04-04,9177
2018-04-05,9081
2018-04-06,9413
2018-04-07,12050
2018-04-08,13162
2018-04-09,9457
2018-04-10,8629
2018-04-11,8406
2018-04-12,8250
2018-04-13,9353
2018-04-14,12977
2018-04-15,15294
2018-04-16,11386
2018-04-17,10128
2018-04-18,9462
2018-04-19,9272
2018-04-20,9196
2018-04-21,12057
2018-04-22,13524
2018-04-23,9827
2018-04-24,9236
2018-04-25,8782
2018-04-26,8328
2018-04-27,8496
2018-04-28,11161
2018-04-29,12896
2018-04-30,9969
2018-05-01,9822
2018-05-02,8803
2018-05-03,8612
2018-05-04,9187
2018-05-05,11133
2018-05-06,12564
2018-05-07,9296
2018-05-08,8733
2018-05-09,8654
2018-05-10,9196
2018-05-11,9317
2018-05-12,11307
2018-05-13,12319
2018-05-14,9554
2018-05-15,9377
2018-05-16,9419
2018-05-17,9097
2018-05-18,9529
2018-05-19,12927
2018-05-20,14020
2018-05-21,12307
2018-05-22,10138
2018-05-23,9615
2018-05-24,9391
2018-05-25,9407
2018-05-26,12013
2018-05-27,12991
2018-05-28,11694
2018-05-29,9088
2018-05-30,8811
2018-05-31,9017
2018-06-01,8904
2018-06-02,11328
2018-06-03,12115
2018-06-04,8572
2018-06-05,8043
2018-06-06,7775
2018-06-07,7647
2018-06-08,7589
2018-06-09,9730
2018-06-10,10653
2018-06-11,7980
2018-06-12,7423
2018-06-13,7201
2018-06-14,6882
2018-06-15,6564
2018-06-16,8406
2018-06-17,9158
2018-06-18,7164
2018-06-19,6835
2018-06-20,6470
2018-06-21,6356
2018-06-22,7776
2018-06-23,11640
2018-06-24,13686
2018-06-25,10248
2018-06-26,10453
2018-06-27,10363
2018-06-28,10462
2018-06-29,10940
2018-06-30,13275
2018-07-01,14840
2018-07-02,11612
2018-07-03,11796
2018-07-04,13553
2018-07-05,12481
2018-07-06,12016
2018-07-07,14362
2018-07-08,15999
2018-07-09,11502
2018-07-10,11367
2018-07-11,10843
2018-07-12,10301
2018-07-13,10305
2018-07-14,12669
2018-07-15,13185
2018-07-16,10039
2018-07-17,9495
2018-07-18,9058
2018-07-19,8688
2018-07-20,8936
2018-07-21,11334
2018-07-22,12419
2018-07-23,9149
2018-07-24,8568
2018-07-25,8153
2018-07-26,7781
2018-07-27,7992
2018-07-28,9924
2018-07-29,10805
2018-07-30,8546
2018-07-31,7806
2018-08-01,7623
2018-08-02,7324
2018-08-03,7053
2018-08-04,8771
2018-08-05,10226
2018-08-06,8018
2018-08-07,7177
2018-08-08,7171
2018-08-09,6560
2018-08-10,6322
2018-08-11,7804
2018-08-12,8805
2018-08-13,6927
2018-08-14,6044
2018-08-15,5917
2018-08-16,5824
2018-08-17,5856
2018-08-18,7259
2018-08-19,8534
2018-08-20,6123
2018-08-21,5858
2018-08-22,5520
2018-08-23,5612
2018-08-24,5712
2018-08-25,7309
2018-08-26,8388
2018-08-27,6299
2018-08-28,5938
2018-08-29,5809
2018-08-30,6361
2018-08-31,12916
2018-09-01,17983
2018-09-02,20986
2018-09-03,21637
2018-09-04,16067
2018-09-05,15452
