"DateTime","Players"
2016-01-15,25302
2016-01-16,26467
2016-01-17,24411
2016-01-18,23828
2016-01-19,21951
2016-01-20,17977
2016-01-21,16957
2016-01-22,17853
2016-01-23,20817
2016-01-24,20427
2016-01-25,18179
2016-01-26,13423
2016-01-27,12199
2016-01-28,11027
2016-01-29,10107
2016-01-30,12374
2016-01-31,12180
2016-02-01,10863
2016-02-02,8150
2016-02-03,7765
2016-02-04,7479
2016-02-05,6741
2016-02-06,7825
2016-02-07,8198
2016-02-08,7128
2016-02-09,5359
2016-02-10,4934
2016-02-11,4771
2016-02-12,4888
2016-02-13,6086
2016-02-14,6316
2016-02-15,5569
2016-02-16,4720
2016-02-17,3931
2016-02-18,3804
2016-02-19,3694
2016-02-20,4429
2016-02-21,4275
2016-02-22,3553
2016-02-23,3222
2016-02-24,2967
2016-02-25,2900
2016-02-26,2897
2016-02-27,3448
2016-02-28,3534
2016-02-29,3036
2016-03-01,2213
2016-03-02,2123
2016-03-03,2089
2016-03-04,2112
2016-03-05,2692
2016-03-06,2753
2016-03-07,2428
2016-03-08,1707
2016-03-09,1741
2016-03-10,1590
2016-03-11,1753
2016-03-12,2124
2016-03-13,2260
2016-03-14,1867
2016-03-15,1659
2016-03-16,1533
2016-03-17,1495
2016-03-18,1531
2016-03-19,1913
2016-03-20,2064
2016-03-21,1731
2016-03-22,1404
2016-03-23,1366
2016-03-24,1353
2016-03-25,1617
2016-03-26,1671
2016-03-27,1829
2016-03-28,1706
2016-03-29,1989
2016-03-30,2142
2016-03-31,2199
2016-04-01,2266
2016-04-02,2899
2016-04-03,3179
2016-04-04,2738
2016-04-05,2119
2016-04-06,1751
2016-04-07,1961
2016-04-08,1940
2016-04-09,2453
2016-04-10,2538
2016-04-11,2089
2016-04-12,1402
2016-04-13,1243
2016-04-14,1208
2016-04-15,1199
2016-04-16,1540
2016-04-17,1674
2016-04-18,1374
2016-04-19,1165
2016-04-20,1132
2016-04-21,1103
2016-04-22,1118
2016-04-23,1434
2016-04-24,1604
2016-04-25,1333
2016-04-26,1057
2016-04-27,1046
2016-04-28,1024
2016-04-29,1030
2016-04-30,1362
2016-05-01,1478
2016-05-02,1244
2016-05-03,993
2016-05-04,974
2016-05-05,973
2016-05-06,928
2016-05-07,1137
2016-05-08,1200
2016-05-09,995
2016-05-10,921
2016-05-11,914
2016-05-12,893
2016-05-13,888
2016-05-14,1231
2016-05-15,1407
2016-05-16,1293
2016-05-17,970
2016-05-18,986
2016-05-19,900
2016-05-20,903
2016-05-21,871
2016-05-22,1272
2016-05-23,1083
2016-05-24,845
2016-05-25,859
2016-05-26,853
2016-05-27,902
2016-05-28,1023
2016-05-29,1125
2016-05-30,1076
2016-05-31,946
2016-06-01,871
2016-06-02,794
2016-06-03,777
2016-06-04,1005
2016-06-05,1185
2016-06-06,1009
2016-06-07,863
2016-06-08,860
2016-06-09,926
2016-06-10,900
2016-06-11,1068
2016-06-12,1200
2016-06-13,1075
2016-06-14,941
2016-06-15,888
2016-06-16,919
2016-06-17,924
2016-06-18,1080
2016-06-19,1161
2016-06-20,1039
2016-06-21,914
2016-06-22,896
2016-06-23,1038
2016-06-24,2093
2016-06-25,2644
2016-06-26,3087
2016-06-27,2762
2016-06-28,2379
2016-06-29,2280
2016-06-30,2199
2016-07-01,2294
2016-07-02,2660
2016-07-03,3455
2016-07-04,3756
2016-07-05,3251
2016-07-06,2635
2016-07-07,2354
2016-07-08,2141
2016-07-09,2538
2016-07-10,2534
2016-07-11,2374
2016-07-12,1764
2016-07-13,1750
2016-07-14,1593
2016-07-15,1565
2016-07-16,1799
2016-07-17,1958
2016-07-18,1719
2016-07-19,1343
2016-07-20,1211
2016-07-21,1270
2016-07-22,1257
2016-07-23,1481
2016-07-24,1542
2016-07-25,1365
2016-07-26,1124
2016-07-27,1105
2016-07-28,1064
2016-07-29,1108
2016-07-30,1365
2016-07-31,1482
2016-08-01,1362
2016-08-02,1096
2016-08-03,1045
2016-08-04,1015
2016-08-05,1001
2016-08-06,1208
2016-08-07,1329
2016-08-08,1191
2016-08-09,955
2016-08-10,941
2016-08-11,958
2016-08-12,903
2016-08-13,1067
2016-08-14,1225
2016-08-15,1172
2016-08-16,928
2016-08-17,885
2016-08-18,1062
2016-08-19,1748
2016-08-20,2821
2016-08-21,3627
2016-08-22,3352
2016-08-23,2820
2016-08-24,2299
2016-08-25,2114
2016-08-26,1950
2016-08-27,2400
2016-08-28,2514
2016-08-29,2176
2016-08-30,1615
2016-08-31,1483
2016-09-01,1395
2016-09-02,1449
2016-09-03,1689
2016-09-04,1742
2016-09-05,1626
2016-09-06,1525
2016-09-07,1194
2016-09-08,1130
2016-09-09,1135
2016-09-10,1532
2016-09-11,1578
2016-09-12,1391
2016-09-13,1116
2016-09-14,1086
2016-09-15,1068
2016-09-16,1091
2016-09-17,1336
2016-09-18,1423
2016-09-19,1288
2016-09-20,950
2016-09-21,968
2016-09-22,952
2016-09-23,1003
2016-09-24,1252
2016-09-25,1356
2016-09-26,1225
2016-09-27,888
2016-09-28,880
2016-09-29,884
2016-09-30,861
2016-10-01,1214
2016-10-02,1290
2016-10-03,1099
2016-10-04,848
2016-10-05,863
2016-10-06,845
2016-10-07,883
2016-10-08,1130
2016-10-09,1175
2016-10-10,1055
2016-10-11,878
2016-10-12,810
2016-10-13,801
2016-10-14,801
2016-10-15,1040
2016-10-16,1106
2016-10-17,990
2016-10-18,774
2016-10-19,797
2016-10-20,777
2016-10-21,797
2016-10-22,1023
2016-10-23,1090
2016-10-24,974
2016-10-25,713
2016-10-26,709
2016-10-27,721
2016-10-28,670
2016-10-29,887
2016-10-30,932
2016-10-31,839
2016-11-01,723
2016-11-02,720
2016-11-03,729
2016-11-04,904
2016-11-05,1322
2016-11-06,1518
2016-11-07,1274
2016-11-08,1083
2016-11-09,1017
2016-11-10,1032
2016-11-11,1205
2016-11-12,1416
2016-11-13,1532
2016-11-14,1276
2016-11-15,1045
2016-11-16,1054
2016-11-17,1015
2016-11-18,1091
2016-11-19,1511
2016-11-20,1403
2016-11-21,1311
2016-11-22,1298
