DateTime,Players
2017-08-08,5653
2017-08-09,4660
2017-08-10,3777
2017-08-11,3122
2017-08-12,3382
2017-08-13,3343
2017-08-14,2200
2017-08-15,1949
2017-08-16,1626
2017-08-17,1416
2017-08-18,1362
2017-08-19,1749
2017-08-20,1771
2017-08-21,1134
2017-08-22,1035
2017-08-23,913
2017-08-24,837
2017-08-25,914
2017-08-26,1075
2017-08-27,1095
2017-08-28,712
2017-08-29,598
2017-08-30,578
2017-08-31,582
2017-09-01,623
2017-09-02,737
2017-09-03,785
2017-09-04,616
2017-09-05,461
2017-09-06,428
2017-09-07,384
2017-09-08,455
2017-09-09,550
2017-09-10,593
2017-09-11,371
2017-09-12,375
2017-09-13,309
2017-09-14,314
2017-09-15,318
2017-09-16,418
2017-09-17,411
2017-09-18,270
2017-09-19,276
2017-09-20,262
2017-09-21,230
2017-09-22,269
2017-09-23,366
2017-09-24,386
2017-09-25,301
2017-09-26,298
2017-09-27,290
2017-09-28,271
2017-09-29,287
2017-09-30,368
2017-10-01,383
2017-10-02,276
2017-10-03,277
2017-10-04,235
2017-10-05,211
2017-10-06,229
2017-10-07,289
2017-10-08,332
2017-10-09,241
2017-10-10,239
2017-10-11,256
2017-10-12,239
2017-10-13,241
2017-10-14,312
2017-10-15,317
2017-10-16,221
2017-10-17,198
2017-10-18,171
2017-10-19,178
2017-10-20,181
2017-10-21,251
2017-10-22,265
2017-10-23,183
2017-10-24,153
2017-10-25,152
2017-10-26,146
2017-10-27,137
2017-10-28,214
2017-10-29,216
2017-10-30,153
2017-10-31,137
2017-11-01,146
2017-11-02,148
2017-11-03,151
2017-11-04,208
2017-11-05,225
2017-11-06,146
2017-11-07,136
2017-11-08,133
2017-11-09,130
2017-11-10,157
2017-11-11,216
2017-11-12,205
2017-11-13,142
2017-11-14,109
2017-11-15,120
2017-11-16,119
2017-11-17,132
2017-11-18,200
2017-11-19,211
2017-11-20,138
2017-11-21,108
2017-11-22,175
2017-11-23,446
2017-11-24,619
2017-11-25,705
2017-11-26,846
2017-11-27,701
2017-11-28,586
2017-11-29,491
2017-11-30,360
2017-12-01,392
2017-12-02,477
2017-12-03,496
2017-12-04,310
2017-12-05,261
2017-12-06,259
2017-12-07,232
2017-12-08,470
2017-12-09,687
2017-12-10,557
2017-12-11,393
2017-12-12,283
2017-12-13,258
2017-12-14,231
2017-12-15,231
2017-12-16,346
2017-12-17,352
2017-12-18,241
2017-12-19,229
2017-12-20,207
2017-12-21,334
2017-12-22,665
2017-12-23,761
2017-12-24,669
2017-12-25,786
2017-12-26,823
2017-12-27,711
2017-12-28,693
2017-12-29,697
2017-12-30,837
