review,recomend
What a great game!! I felt emotions when playing it. You did well. 10/10,Recommended
"This game is extremely good! Well written, visually splendid, combining stealth and action, good level design, good music, adorable characters. Clearly my best 2019 game so far.",Recommended
RATS 10/10,Recommended
"Finally I found a story game which can compete with ""The Last of Us"". \nOf course, for me ""The Last of Us"" is still No.1, but in ""A plague tale"" the medieval setting, the scenery and the story of the main characters is heartbraking, disguting, sad and beautiful at the same time.\n\nIt's easy to play and 90% stealth gameplay, which gives you the possibility to immerse yourself deep into the story.\n\nFor me personally this is THE game highlight of 2019.",Recommended
"If you like Story-Rich games such as To the Moon, Soma, Brothers - A Tale of two Sons, you definitely will like this. The Story is very well written, The Characters are good designed and have really good Voice Actors. The overall medieval tone of this game is also done well. I have not found a thing that I disliked - It was an awesome and heart-breaking experience from Beginning to End. \n\n10/10",Recommended
"A really fantastic game.\n\nTLDR;\nPros:\n- Great storyline\n- Ability to choose your path\n\nCons:\n- Sometimes interactions could be clunky\n- Very linear\n\n\nI really enjoyed this game - the main reason why is the storyline. It's a unique story, which explores 14th Century France, really melding in well to the events of the time and expanding upon them.\n\nVisually it's a lovely game, with great detail being given to the time period, and the various oddities that were around at that point. It was disturbing, but not in an overly gory way, but one that respected death (in my opinion). For example, you could feel that the main protagonist was affected by having to kill people.\n\nGameplay-wise, it was really good fun working out how to get round certain scenarios with the tools that you have, and, especially towards the end, creating a combination of things to get past enemies with or without killing them. One issue I had was sometimes the auto-aim wouldn't work properly, or pathing was a bit frustrating, but that was rare. The game was very linear, which wasn't so much of an issue, but I felt sometimes that I was being forced down a certain path.\n\nThis is definitely a game I would spend money on again, and I'll keep an eye out for anything which Asobo Studio creates in the future.",Recommended
"When you look back at Man's most devastating periods, a common tale told is that of the Great Plague.  Known as the Black Death or Black Plague, it wiped out around 30-60% of Europe's total population within the span of 4 years, killing an estimated 75 to 200 million people.  While present day evidence shows the carrier of the bacteria being the fleas living on the black rats, many people saw the ever growing population of said rats and believed them to be the root of the devastation.  With no science to back up the number in which people were dying, many believed the deluge of death to be a prophecy of God, and some to believe that a certain few could conjure the rats, to dispel non-believers and enemies alike.\n\n[b]A Plague Tale: Innocence[/b] follows such beliefs, where Amicia, and the noble de Rune family stands tall in the town of Aquitaine in 1348.  Her and her father, Robert, are out on a hunt when a mysterious blight is seen in the woods close to town.  When investigated further, Amicia's pet is taken by an unknown force inside the blight, and Robert sends Amicia back into town to warn her mother of the threat.  When she returns, an inquisition has ravaged the town, troops slaughtering dozens, with demands for Amicia's little brother, Hugo.  Hugo has been sick for all his life, and Amicia's mother has sheltered him from the world in hopes to find a cure to his mysterious ailments.  With the inquisition tearing the town apart, Amicia must take her brother and escape the town, and seek revenge to not only with the troops searching for them, but the country-wide wave of demonized rats that have torn the land apart, and the evil entities looking to use their power to devour everything in their path.\n\nAmicia's journey is one of stealth and survival, while making sure Hugo stays by her side.  I'll be the first to say that I've never been a fan of escort style games or missions, but the A.I. for Hugo and Amicia's teammates are some of the better A.I. I've encountered.  There will be several times where Amicia's friends will be needed, whether to help solve puzzles or take out enemies, and I never had any issues regarding their use, which is refreshing with a main character so indebted to her friends.  [b]A Plague Tale[/b] runs a fine line between survival horror and action, with Amicia having her trusty sling to get her through a variety of obstacles.  It can be used to start or put out fires, fend off enemies with a flick of her wrist, and much more.  Amicia will have to craft specific ammo to do these tasks and will need to collect supplies; scavenging for supplies doesn't shy away from taking a chapter from [b]The Last of Us[/b]' collecting, where you'll also be able to upgrade how many supplies you can hold and how powerful your sling can become.\n\nWhile the inquisition will be a major foothold in Amicia's journey, the main course is the hordes of rats that are encountered ravaging England.  [b]A Plague Tale[/b]'s bread and butter is just how perfectly disturbing the rats are made out to be; the sounds of hundreds of skittering feet, teeth gnawing on human flesh, the screams of each rat, deep red eyes fixated on Amicia and Hugo being the next meal: it is such an unsettling feeling.  The looming threat of the rats is succumbed by any source of light being a safe haven, but having to navigate through the river of rodents with at times only a flickering torch to get from one fire to another is harrowing and daunting.  It's such a perfectly blended assault on your emotions knowing that there are only a small amount of ways to keep these creatures from tearing the soul out of these children.  Each chapter is so finely tuned to have moments where you'll be on the edge of your seat, constantly fighting the clock to make it to the next safe spot, only to have to face more danger past the horizon.\n\nBut with all the horrors that plague the travels of Amicia and Hugo, A Plague Tale is surprisingly heartfelt.  The writing and voice acting shine throughout, as each character's emotions bleed through each word, showing love and excitement for their family and friends in between the dismay and depression of the deteriorating country surrounding them.  The pacing of the story is really well done, but I feel the ending is a bit abrupt, with the main antagonist not really getting enough screen time to justify the final implications of the world in which he is striving for.  There are a few blink-if-you-miss-it details that explain in further detail in the later chapters, but taking more time to build on the dream and goals would've helped close the book on a captivating adventure.\n\nThrough all the death and dismay, there is a lot to love in Amicia's story.  [b]A Plague Tale[/b] has built a dark, brooding, and disturbing world taken over by a nightmarish enemy: an enemy that should be recognized as one of the most harrowing and terrifying in recent years.  With all the darkness, a light shines through, showing the power of family: the ones by blood, and the ones by bond, and the will to survive in a world that does nothing to help.  It's a light that commands your attention from beginning to end, and is a shining achievement for [b]Asobo Studio[/b].\n\n[quote][h1]Follow [url=https://store.steampowered.com/curator/33247611/]A Review Is Worth 1,000 Words[/url] for more content.[/h1][/quote]",Recommended
More proof that games are art.,Recommended
"A compelling take on the great plague with some fantasy elements mixed to it. Asobo Studios might be one the way to become the next big developer, like CD Project once did.",Recommended
"Perfection in storytelling. I love it start to finish. Only two improvements I could possibly think of:\n \nFirst being a more open gameplay flow, as in alternative paths to take or a little more freedom for the player to solve problems. \n\nSecondly simply more games like this. I see no need to reinvent the wheel for every new games, some recipes just work. \n\nThis is art.",Recommended
"Good game! Like Tomb Raider, but without all climbing and jumping and faling ... falling ...falling. And without modern ""you can kill enemies, but you get bad ending for this"". It's just the game I like.",Recommended
"Great game, storytelling is good, voice acting is sometimes off.\nSome parts are tricky, but not unfair.\nOverall I would say 4,5 of 5 points, because the DX11 egine has some bottlenecks.",Recommended
Simple puzzles and a good story. Graphics is really good and there were only minor bugs. very atmospheric. 7.8/10\n\n\n,Recommended
i've played through the first two chapters--\nit's quite decent. I think Amicia is a great protagonist through the story.\nHuge is also to my liking.,Recommended
solid game fun to play with a friend.  great entertainment value.,Recommended
nice graphics!!!,Recommended
"Good Story, Enjoyable Ending and overall worth what I spent for it so all in all good game",Recommended
