review,recomend
"[h1]Technical Aspects[/h1]\nI didn't have any crash issues with this game like some other users were having, though it did crash once throughout all the hours I've played so far... Either way, I believe there's fixes for the crashing somewhere.\n\nGamepad support seems just fine (as long as your PC believes you're using a Xbox gamepad, I'm using a PS4 controller and using Steam's Playstation Configuration Support). [b]DO NOT PLAY THIS GAME WITH MOUSE AND KEYBOARD.[/b] I personally haven't myself but this game was NOT made for it although it does support it, and it supports it better in this PC port as opposed to the original port.\n\nThe motion blur option in video settings is UGLY. The type effect used in this game seems remnant of how it was done in GTA III which is more so a ghosting effect rather than proper motion blur, so turn it off. This is coming from someone who likes motion blur.\n\nThe game seems like it's optimized just fine, it is an old game however, but this just means this PC port wasn't trash. This game should run on a toaster really, as long as it's an up-to-date toaster that is.\n \nIf you've played RE4 before, this is probably the best version for the default experience, which I would assume most people are playing this for. A lot of the trainers for the game are for version 1.0.6 of this game but the Steam version is 1.1.0, so a lot trainers will not work unfortunately and a lot of the mod devs seem to not care to update their trainers for the 1.1.0 version. I'm unsure if other mods work as I haven't tried any of those.\n[h1]My Opinion Of The Game[/h1]\nPersonally, this is my favorite resident evil game by far. The pacing is astounding as I enjoy every minute of this game from start to finish. The story itself is rather decent but the gameplay, in my opinion, is the game's strongest suit as that's what'll bring you back for multiple playthroughs. The game is a perfect blend of action and horror, but it does lean more so on the action side but I wouldn't say it takes anything away from the gameplay; if anything, it adds to it and the replay value. If you've played a classic Resident Evil game this the controls should come naturally, though it controls much different to today's third person shooter games so be aware. I personally wouldn't call the controls bad, just different but it lends to the style of the game and the combat.\n[h1]TL;DR[/h1]\nThis is a must play classic from the PS2 era that everyone must play at some point in their gaming lives. The controls may be a little funky at first but you'll get hang of it and enjoy the game plentifully. USE A CONTROLLER!",Recommended
"I'm very disappointed as the way camera works in this game, it's too annoying and hard to control. Your character won't move follow the angle when you drag your mouse but follow the running direction.\nThis game engine is totally... PATHETIC",Not Recommended
"When it comes to the Resident Evil series I will always love the original Resident Evil the most because of it's iconic setting and the exploration in the spencer mansion. But, if I had to choose a Resident Evil game that comes close to that same level as the original Resident Evil then I have to put Resi 4 at that spot because Resi 4 was exactly what I wanted it to be. A Resident Evil game but with a completely new take on it but still keeping the stuff that made Resident Evil great to begin with and I loved every second of RE4 and I still think it's a great game to this day. When it comes to games, I rarely find time to play them nowadays but Resi 4 was just one of those games that I spent hours upon hour replaying and enjoying all the way through every single time just like the original Resident Evil title. \nThe voice acting is also wonderful with Leon's many silly comments during otherwise life threatening situations. Resident Evil has always had identity and this game is no different I can assure you. \nːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsː\nhttps://www.youtube.com/watch?v=nSy1uEwtU_I\nːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsː\nhttps://www.youtube.com/watch?v=TIXljNli5Uw&feature=youtu.be\nːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsːːskullsː\nIt's also the perfect game for halloween. I love playing this game and the original Resident Evil during Halloween night. It has become a tradition for me.\nːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullːːdoorways_skullː",Recommended
Ashley: Leon help!!!!!\nLeon: What the?\nAshley: Leon help!!!!!!!\nLeon: shut up please!\nAshley: Leon\nLeon: Yeah?\nAshley: HEEEEEEEELPPPPPP\nLeon: Aaaaaaaaaaaaaaaaaaaaaaaaaaaa,Recommended
"A very different approach to RE formula in this one (in relation to previous RE games). \n\nIt is more action-horror now then survival horror but it works perfectly! \n\nThe game is exciting and thrilling. There are still moments when you can get scared. \n\nSome enemies are really terryfing, (especialy the giant monster in the lake) and the ""new zombies"" (they act more like agressive humans and can use weapons) are really refreshing and provide a good challenge. \n\nThe story is of course cheesy but it was always like that with RE games.\n\nLocations are beautiful. Weird isolated village, dark forest, a graveyard shrouded in mist near a seculiar chapel, cliffsides near a giant lake, old castle, island with a military instalation and old ruins.\n\nOverall it is a worthy, unforgetable experience.",Recommended
Saying its amazing would be an understatement\nso yeah its good,Recommended
"If u fans of Resident Evil, u will love this game.\nLeon luck is almost 99,9%",Recommended
"Graphics 7 out of 10\nIn-game sounds 7 out of 10\nGameplay 9 out of 10\nStory 10 out of 10\nMultiplayer 6 out of  10\nPrice-Remember 2005?Fifa was still a thing,counterstrike source was fresh,Backstreet boys still made music and you we're young.Well,buckle up cause we're going back in time.A great incursion in history with resident evil,castles,bunkers from war,ancient ruins and many more.All to save the president's daughter because it's Murica.Fuck yeah I recomend this!Need more ammo Gunther!",Recommended
resident evil 4: the weak spot in the mouth,Recommended
gg,Recommended
