"DateTime","Players"
2015-04-19,150
2015-04-20,124
2015-04-21,113
2015-04-22,92
2015-04-23,110
2015-04-24,113
2015-04-25,148
2015-04-26,152
2015-04-27,108
2015-04-28,114
2015-04-29,112
2015-04-30,115
2015-05-01,133
2015-05-02,150
2015-05-03,151
2015-05-04,116
2015-05-05,107
2015-05-06,102
2015-05-07,102
2015-05-08,113
2015-05-09,143
2015-05-10,160
2015-05-11,119
2015-05-12,97
2015-05-13,118
2015-05-14,180
2015-05-15,383
2015-05-16,633
2015-05-17,755
2015-05-18,636
2015-05-19,532
2015-05-20,483
2015-05-21,411
2015-05-22,407
2015-05-23,465
2015-05-24,454
2015-05-25,380
2015-05-26,301
2015-05-27,273
2015-05-28,255
2015-05-29,261
2015-05-30,325
2015-05-31,328
2015-06-01,278
2015-06-02,211
2015-06-03,203
2015-06-04,213
2015-06-05,194
2015-06-06,248
2015-06-07,252
2015-06-08,215
2015-06-09,183
2015-06-10,166
2015-06-11,164
2015-06-12,176
2015-06-13,219
2015-06-14,252
2015-06-15,190
2015-06-16,168
2015-06-17,158
2015-06-18,174
2015-06-19,233
2015-06-20,399
2015-06-21,472
2015-06-22,387
2015-06-23,358
2015-06-24,330
2015-06-25,275
2015-06-26,280
2015-06-27,298
2015-06-28,311
2015-06-29,249
2015-06-30,221
2015-07-01,210
2015-07-02,207
2015-07-03,239
2015-07-04,257
2015-07-05,289
2015-07-06,216
2015-07-07,194
2015-07-08,196
2015-07-09,196
2015-07-10,233
2015-07-11,263
2015-07-12,247
2015-07-13,200
2015-07-14,184
2015-07-15,184
2015-07-16,175
2015-07-17,176
2015-07-18,202
2015-07-19,232
2015-07-20,180
2015-07-21,170
2015-07-22,168
2015-07-23,165
2015-07-24,168
2015-07-25,204
2015-07-26,220
2015-07-27,171
2015-07-28,175
2015-07-29,155
2015-07-30,165
2015-07-31,174
2015-08-01,165
2015-08-02,224
2015-08-03,188
2015-08-04,173
2015-08-05,174
2015-08-06,155
2015-08-07,164
2015-08-08,188
2015-08-09,209
2015-08-10,168
2015-08-11,177
2015-08-12,156
2015-08-13,155
2015-08-14,144
2015-08-15,171
2015-08-16,213
2015-08-17,161
2015-08-18,156
2015-08-19,165
2015-08-20,155
2015-08-21,159
2015-08-22,189
2015-08-23,213
2015-08-24,170
2015-08-25,142
2015-08-26,133
2015-08-27,154
2015-08-28,157
2015-08-29,165
2015-08-30,175
2015-08-31,155
2015-09-01,128
2015-09-02,134
2015-09-03,123
2015-09-04,125
2015-09-05,154
2015-09-06,154
2015-09-07,164
2015-09-08,129
2015-09-09,110
2015-09-10,98
2015-09-11,121
2015-09-12,114
2015-09-13,169
